path_in_A,path_in_B
ObjectData\KoopaSealChain\tex1_64x64_8a544be6c0591499_14.png,ondemand_texture_replace\MarioGalaxy\7390902733705534771.png
ObjectData\KoopaStatue\tex1_64x64_50f1928ea9945427_14.png,ondemand_texture_replace\MarioGalaxy\14377979302987983407.png
ObjectData\KoopaVs1\tex1_64x128_9826fd9c5a1d688f_1.png,ondemand_texture_replace\MarioGalaxy\531548288228449441.png
ObjectData\KoopaVs1\tex1_64x64_a9e5236d95adb1f3_14.png,ondemand_texture_replace\MarioGalaxy\12347588355981374745.png
ObjectData\KoopaVS1Sky\tex1_32x64_e766d83ba429ff07_1.png,ondemand_texture_replace\MarioGalaxy\5299963959391685628.png
ObjectData\KoopaVS1Sky\tex1_64x64_e1d2d2af75ef9506_14.png,ondemand_texture_replace\MarioGalaxy\14438148193562621457.png
ObjectData\KoopaVS1Sky\tex1_64x64_m_0a8ad629a8f96f4e_1_arb.png,MarioGalaxy\f9e966e7084de886.png
ObjectData\KoopaVS1Sky\tex1_64x64_m_0a8ad629a8f96f4e_1_arb_mip1.png,MarioGalaxy\f9e966e7084de886_lod1.png
ObjectData\KoopaVS1Sky\tex1_64x64_m_0a8ad629a8f96f4e_1_arb_mip2.png,MarioGalaxy\f9e966e7084de886_lod2.png
ObjectData\KoopaVS1Sky\tex1_64x64_m_0a8ad629a8f96f4e_1_arb_mip3.png,MarioGalaxy\f9e966e7084de886_lod3.png
ObjectData\KoteBug\tex1_256x256_cc6fdd9533105452_14.png,ondemand_texture_replace\MarioGalaxy\5281156534556228654.png
ObjectData\Kuribo\tex1_64x128_4348e1b3a07923bf_14.png,ondemand_texture_replace\MarioGalaxy\3611896657674083841.png
ObjectData\Kuribo\tex1_64x128_628030d7b08776f5_14.png,ondemand_texture_replace\MarioGalaxy\4972387802323251424.png
ObjectData\Kuribo\tex1_64x128_d4a37bf6901674f2_14.png,ondemand_texture_replace\MarioGalaxy\3426944275959501062.png
ObjectData\KuriboChief\tex1_64x128_3434c4ab48db7c1e_14.png,ondemand_texture_replace\MarioGalaxy\5265732663474621415.png
ObjectData\KuriboChief\tex1_64x128_e4019d7279ea3bbd_14.png,ondemand_texture_replace\MarioGalaxy\8609452357730306081.png
ObjectData\KuriboChief\tex1_64x128_f69e6011d6c70691_1.png,ondemand_texture_replace\MarioGalaxy\17652699983267574635.png
ObjectData\KuriboMini\tex1_64x64_9ca14682367d7160_14.png,ondemand_texture_replace\MarioGalaxy\1675785743421832220.png
ObjectData\KuriboMini\tex1_64x64_b714c9d3ab9ed50b_14.png,ondemand_texture_replace\MarioGalaxy\2621335960713233326.png
ObjectData\KuriboMini\tex1_64x64_cef235a303c0bae4_14.png,ondemand_texture_replace\MarioGalaxy\11470783576352569794.png
ObjectData\KuriboMini\tex1_64x64_e68dc9f9bebffc9b_14.png,ondemand_texture_replace\MarioGalaxy\6399330625210423156.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_12bceb1ee74f9537_5.png,ondemand_texture_replace\MarioGalaxy\4176251069758159369.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_2bbd77a5a691f134_14.png,ondemand_texture_replace\MarioGalaxy\5629808185005232311.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_69c8d9b055770792_14.png,ondemand_texture_replace\MarioGalaxy\2430316436995968461.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_8a769bd9a9c0426c_14.png,ondemand_texture_replace\MarioGalaxy\14510559433528264524.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_98712995527d74d1_14.png,ondemand_texture_replace\MarioGalaxy\17761437301293428604.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_b8f51f40d9fda778_14.png,ondemand_texture_replace\MarioGalaxy\12673674689275934752.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_ba867606c1b1a384_14.png,ondemand_texture_replace\MarioGalaxy\16377758393245561846.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_dd0f4ab8f8ee12c0_14.png,ondemand_texture_replace\MarioGalaxy\1408551691197168879.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_e46d32880daba76e_14.png,ondemand_texture_replace\MarioGalaxy\17201612607515782414.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_f0acd72193771974_14.png,ondemand_texture_replace\MarioGalaxy\14445992860354475408.png
ObjectData\LavaBubble2DPlanet\tex1_128x128_f323ad06b176926b_14.png,ondemand_texture_replace\MarioGalaxy\16533557607756759885.png
ObjectData\LavaBubble2DPlanet\tex1_128x32_0d3a104c603d79c6_14.png,ondemand_texture_replace\MarioGalaxy\17961745292058143890.png
ObjectData\LavaBubble2DPlanet\tex1_128x64_f756b289c2d4967d_14.png,ondemand_texture_replace\MarioGalaxy\15882414993212594179.png
ObjectData\LavaBubble2DPlanet\tex1_256x256_65dacb7bde8f6cee_14.png,ondemand_texture_replace\MarioGalaxy\5777676892311203114.png
ObjectData\LavaBubble2DPlanet\tex1_256x256_8e39ee202e47178e_14.png,ondemand_texture_replace\MarioGalaxy\1647486968545073466.png
ObjectData\LavaBubble2DPlanet\tex1_256x256_935e6fbf871ebea9_14.png,ondemand_texture_replace\MarioGalaxy\18419066360686151243.png
ObjectData\LavaFloatingStepA\tex1_128x128_502825d6056197c2_14.png,ondemand_texture_replace\MarioGalaxy\2582638530443822940.png
ObjectData\LavaFloatingStepA\tex1_128x128_m_c0a30e583ec9e197_14.png,MarioGalaxy_Sub\5a2668864d7c34c9.png
ObjectData\LavaFloatingStepA\tex1_128x128_m_c0a30e583ec9e197_14_mip1.png,MarioGalaxy_Sub\5a2668864d7c34c9_lod1.png
ObjectData\LavaFloatingStepA\tex1_128x128_m_c0a30e583ec9e197_14_mip2.png,MarioGalaxy_Sub\5a2668864d7c34c9_lod2.png
ObjectData\LavaFloatingStepA\tex1_128x128_m_c0a30e583ec9e197_14_mip3.png,MarioGalaxy_Sub\5a2668864d7c34c9_lod3.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_3a9ab5bf79b19439_14.png,ondemand_texture_replace\MarioGalaxy\788537819717687975.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_e32fc39875b77e3e_14.png,ondemand_texture_replace\MarioGalaxy\2248054132089959836.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_m_1aee2563921a7a3c_14.png,MarioGalaxy_Sub\76571059287846f5.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_m_1aee2563921a7a3c_14_mip1.png,MarioGalaxy_Sub\76571059287846f5_lod1.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_m_1aee2563921a7a3c_14_mip2.png,MarioGalaxy_Sub\76571059287846f5_lod2.png
ObjectData\LavaFluffFallPlanet\tex1_128x128_m_1aee2563921a7a3c_14_mip3.png,MarioGalaxy_Sub\76571059287846f5_lod3.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb.png,MarioGalaxy_Sub\73f0191580a865a6.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb_mip1.png,MarioGalaxy_Sub\73f0191580a865a6_lod1.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb_mip2.png,MarioGalaxy_Sub\73f0191580a865a6_lod2.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb_mip3.png,MarioGalaxy_Sub\73f0191580a865a6_lod3.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb_mip4.png,MarioGalaxy_Sub\73f0191580a865a6_lod4.png
ObjectData\LavaGeyser\tex1_256x256_m_efb7885b915ac15a_14_arb_mip5.png,MarioGalaxy_Sub\73f0191580a865a6_lod5.png
ObjectData\LavaGravityRoadPlanet\tex1_128x128_daed957e3b397404_14.png,ondemand_texture_replace\MarioGalaxy\3918710218937139908.png
ObjectData\LavaProminence\tex1_16x64_b9e530ffdc334158_5.png,ondemand_texture_replace\MarioGalaxy\1917544964142259061.png
ObjectData\LavaSeparateWaterfall\tex1_64x128_6faf42b514892245_14.png,ondemand_texture_replace\MarioGalaxy\5016099377851009573.png
ObjectData\LavaSnowBallConveyPlanet\tex1_128x128_1c9f3cd406b08870_14.png,ondemand_texture_replace\MarioGalaxy\11489767712813971929.png
ObjectData\LavaSnowBallConveyPlanet\tex1_128x128_c23273f546526729_14.png,ondemand_texture_replace\MarioGalaxy\14315158751062743645.png
ObjectData\LavaSnowBallConveyPlanet\tex1_256x128_c0c2604d756d0dd8_14.png,ondemand_texture_replace\MarioGalaxy\13093567660834151599.png
ObjectData\LavaSnowBallConveyPlanet\tex1_256x256_23129527e921c878_14.png,ondemand_texture_replace\MarioGalaxy\12206651626062187227.png
ObjectData\LavaSnowBallConveyPlanet\tex1_256x256_ce56f1e0c9b527c8_14.png,ondemand_texture_replace\MarioGalaxy\3403983259090701428.png
ObjectData\LavaSnowBallConveyPlanet\tex1_64x128_fcc080b424bbafad_14.png,ondemand_texture_replace\MarioGalaxy\13741413142969376864.png
ObjectData\LavaYoshiActionPlanetA\tex1_128x128_48ddcee0702adfc7_14.png,ondemand_texture_replace\MarioGalaxy\11459421768420864973.png
ObjectData\LavaYoshiActionPlanetA\tex1_64x64_4ee62f92da2c6b3d_14.png,ondemand_texture_replace\MarioGalaxy\14161919726075549639.png
ObjectData\LeafBoard\tex1_128x256_7b9fb87f81806db0_14.png,ondemand_texture_replace\MarioGalaxy\11392548999091178742.png
ObjectData\LeafBoard\tex1_128x256_c95a0af984436e77_14.png,ondemand_texture_replace\MarioGalaxy\14647069195999924736.png
ObjectData\LeafManholeCover\tex1_64x32_b3ef28ff5d29889c_14.png,ondemand_texture_replace\MarioGalaxy\16422435791152768736.png
ObjectData\LongCylinderFlowSandPlanet\tex1_128x128_6acd9c3dd3662b0d_14.png,ondemand_texture_replace\MarioGalaxy\1400260680587926198.png
ObjectData\LotusLeaf\tex1_64x128_3f4ba1b676cf9aa5_14.png,ondemand_texture_replace\MarioGalaxy\16168035119288992776.png
ObjectData\LuckyDice\tex1_128x128_4a2dbace932a618c_14.png,MarioGalaxy\19fa2c74d324c92b.png
ObjectData\LuckyDice\tex1_128x128_5b82a02b7a628c26_14.png,MarioGalaxy\3fdfd01b8cc1586d.png
ObjectData\LuckyDice\tex1_128x128_a22775205454d8f3_14.png,MarioGalaxy\9c668fc805bf3a9f.png
ObjectData\LuckyRoomPlanet\tex1_128x128_3606e4cdd8e4b8cc_14.png,ondemand_texture_replace\MarioGalaxy\13922707206068525556.png
ObjectData\LuckyRoomPlanet\tex1_128x128_8ebbcbf9c9ecebd8_14.png,ondemand_texture_replace\MarioGalaxy\16171311991036138659.png
ObjectData\LuckyRoomPlanet\tex1_128x64_80ec79ecdfcf2f8a_0.png,ondemand_texture_replace\MarioGalaxy\5756582471866077053.png
ObjectData\LuckyRoomPlanet\tex1_128x64_f0613b89f6181a94_14.png,ondemand_texture_replace\MarioGalaxy\14700303448400245672.png
ObjectData\LuckyRoomPlanet\tex1_64x64_096466805eced93b_5.png,ondemand_texture_replace\MarioGalaxy\15837709354246420262.png
ObjectData\LuckyRoomPlanet\tex1_64x64_16e9ea51da697154_5.png,ondemand_texture_replace\MarioGalaxy\6290298863667756375.png
ObjectData\Luigi\Luigi\tex1_128x64_1e93f2044f97847d_14.png,MarioGalaxy\17850404cd7e587f.png
ObjectData\Luigi\Luigi\tex1_128x64_b6862799f8edcf1d_14.png,MarioGalaxy\7d4383512f048449.png
ObjectData\Luigi\Luigi\tex1_256x128_1252181ce3058bcf_14.png,MarioGalaxy\bd1389b7a996d571.png
ObjectData\Luigi\Luigi\tex1_256x128_2da7f76950822096_14.png,MarioGalaxy\2df409065ef2bacb.png
ObjectData\LuigiCap\tex1_128x64_f531fc5e6fecabdf_14.png,MarioGalaxy\1df66471b841fbae.png
ObjectData\LuigiNPC\tex1_256x128_6b6732c80aa220c4_14.png,MarioGalaxy\ac92c30a95624457.png
ObjectData\LuigiNPCMiddle\tex1_128x64_f30be1e1306403d9_14.png,MarioGalaxy\be47a34d45cd6fd1.png
ObjectData\LuigiNPCMiddle\tex1_64x32_2d0c2b9a490f480b_14.png,MarioGalaxy_Sub\3b03496b6d348291.png
ObjectData\LuigiNPCMiddle\tex1_64x64_d398a7d54bbe7bb1_14.png,MarioGalaxy_Sub\cd5fc76021a5cea6.png
ObjectData\MagmaBoatIcePlanet\tex1_16x64_2333e621d7cc93c0_14.png,ondemand_texture_replace\MarioGalaxy\10273365828396014485.png
ObjectData\MagmaBoatIcePlanet\tex1_256x256_e714eadbc3a5f5bd_14.png,ondemand_texture_replace\MarioGalaxy\14175201365078001647.png
ObjectData\MagmaBoatIcePlanet\tex1_256x256_fffbe362005895cb_14.png,ondemand_texture_replace\MarioGalaxy\4376775157187591493.png
ObjectData\MagmaBoatIcePlanetIce\tex1_256x64_d752b60847955596_5.png,ondemand_texture_replace\MarioGalaxy\9544052347659288270.png
ObjectData\MagmaBoatMagmaPlanet\tex1_256x128_6e91a91793a88a97_14.png,ondemand_texture_replace\MarioGalaxy\6353311077351689449.png
ObjectData\MagmaBoatMagmaPlanet\tex1_256x256_dda2b86b8133e6cf_14.png,ondemand_texture_replace\MarioGalaxy\15174107063820398055.png
ObjectData\MagmaBoatMagmaPlanet\tex1_256x256_e795fc884f087268_14.png,ondemand_texture_replace\MarioGalaxy\569184961084730001.png
ObjectData\MagmaMeteorBall\tex1_256x128_cb2dcbb2f73cfcb7_14.png,ondemand_texture_replace\MarioGalaxy\8141797954192863410.png
ObjectData\MagmaMonsterRotateSeasaw\tex1_256x256_334191e6f424a87d_14.png,ondemand_texture_replace\MarioGalaxy\16787316847598398356.png
ObjectData\MagmaMonsterSky\tex1_128x128_m_80691c31e71b508e_0_arb.png,MarioGalaxy_Sub\5018462b8aad6421.png
ObjectData\MagmaMonsterSky\tex1_128x128_m_80691c31e71b508e_0_arb_mip1.png,MarioGalaxy_Sub\5018462b8aad6421_lod1.png
ObjectData\MagmaMonsterSky\tex1_128x128_m_80691c31e71b508e_0_arb_mip2.png,MarioGalaxy_Sub\5018462b8aad6421_lod2.png
ObjectData\MagmaMonsterSky\tex1_128x128_m_80691c31e71b508e_0_arb_mip3.png,MarioGalaxy_Sub\5018462b8aad6421_lod3.png
ObjectData\MagmaMonsterSky\tex1_128x128_m_80691c31e71b508e_0_arb_mip4.png,MarioGalaxy_Sub\5018462b8aad6421_lod4.png
ObjectData\MagmaMonsterStarCaptureStep\tex1_128x128_a7a6056208d8d890_14.png,ondemand_texture_replace\MarioGalaxy\9333972088810021788.png
ObjectData\MagmaSeaWavePlanet\tex1_128x128_323b65bd995ac695_1.png,ondemand_texture_replace\MarioGalaxy\13824243070983977613.png
ObjectData\MagmaSeaWavePlanet\tex1_128x128_454ede847e6ab212_14.png,ondemand_texture_replace\MarioGalaxy\9823360016983593825.png
ObjectData\MagmaSeaWavePlanet\tex1_128x128_bb271c0cb59efa0c_3.png,ondemand_texture_replace\MarioGalaxy\12503089814985992617.png
ObjectData\MagmaSeaWavePlanet\tex1_256x256_e0a44ffd2e69ae25_14.png,ondemand_texture_replace\MarioGalaxy\3360152616102439694.png
ObjectData\MagmaSeaWavePlanet\tex1_256x256_e69c932817abf341_14.png,ondemand_texture_replace\MarioGalaxy\7035826453539334505.png
ObjectData\MagmaSeaWavePlanet\tex1_512x512_5b784242b537025e_14.png,ondemand_texture_replace\MarioGalaxy\2669257888345123337.png
ObjectData\MagmaSlicePlanet\tex1_256x256_b29739e2a65f174d_14.png,ondemand_texture_replace\MarioGalaxy\15795474433024338504.png
ObjectData\MagmaSlicePlanet\tex1_256x256_dc37f045da8d9ef1_14.png,ondemand_texture_replace\MarioGalaxy\4500305680023195701.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14.png,MarioGalaxy\fb6585667496743b.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14_mip1.png,MarioGalaxy\fb6585667496743b_lod1.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14_mip2.png,MarioGalaxy\fb6585667496743b_lod2.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14_mip3.png,MarioGalaxy\fb6585667496743b_lod3.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14_mip4.png,MarioGalaxy\fb6585667496743b_lod4.png
ObjectData\MagmaSlicePlanet\tex1_256x256_m_5f5186cd6d5d2a95_14_mip5.png,MarioGalaxy\fb6585667496743b_lod5.png
ObjectData\MagmaSliceRotateStepD\tex1_8x128_6594063da457e8fa_14.png,ondemand_texture_replace\MarioGalaxy\7684055308432307192.png
ObjectData\MagnumKiller\tex1_128x128_5f6bb2e33d268d72_14.png,ondemand_texture_replace\MarioGalaxy\11368549223683817489.png
ObjectData\MameMuimuiGreen\tex1_128x128_8fc14607a4f12696_14.png,ondemand_texture_replace\MarioGalaxy\8812401648057724966.png
ObjectData\MameMuimuiSpike\tex1_64x64_35651ebe368aa499_14.png,ondemand_texture_replace\MarioGalaxy\16483474006818531507.png
ObjectData\MarinePlant00\tex1_64x256_m_2c606268d27f59f7_14.png,ondemand_texture_replace\MarioGalaxy\2256355579331217162.png
ObjectData\MarinePlant00\tex1_64x256_m_2c9fe402d4e2fe51_14.png,ondemand_texture_replace\MarioGalaxy\7368273770097860813.png
ObjectData\MarinePlant00\tex1_64x256_m_c9e2f5fc9483cc79_14.png,ondemand_texture_replace\MarioGalaxy\2104484424362038765.png
ObjectData\MarinePlant00\tex1_64x256_m_d87676654020b262_14.png,ondemand_texture_replace\MarioGalaxy\12624632689565380050.png
ObjectData\MarinePlant00\tex1_64x256_m_fd53a1b881db4fb9_14.png,ondemand_texture_replace\MarioGalaxy\14560928457927855436.png
ObjectData\Mario\tex1_128x64_8554992f178583e5_14.png,MarioGalaxy\cca7a696ad723718.png
ObjectData\Mario\tex1_128x64_bc1ef6ac06460240_14.png,MarioGalaxy\362022f0b4e081c2.png
ObjectData\Mario\tex1_256x128_1fab221956798cac_14.png,MarioGalaxy\a358010e9517d0d3.png
ObjectData\Mario\tex1_256x128_a99c0fa404ccf559_14.png,MarioGalaxy\0150bf237d65322b.png
ObjectData\Mario\tex1_64x64_9e647ec939f66a36_5.png,MarioGalaxy\77d1cef2d026b497.png
ObjectData\MarioLauncher\tex1_128x128_f05a117e35a96265_14.png,ondemand_texture_replace\MarioGalaxy\11104865925330621806.png
ObjectData\MechanicKoopaMini\tex1_128x128_f5dda074ac3718f7_14.png,ondemand_texture_replace\MarioGalaxy\2425966873566554159.png
ObjectData\Meister\tex1_256x256_4fa1305488aeccb4_14.png,ondemand_texture_replace\MarioGalaxy\4476092909194584169.png
ObjectData\Meister\tex1_32x64_63de1609d494d068_14.png,ondemand_texture_replace\MarioGalaxy\9747901281763837875.png
ObjectData\Meister\tex1_32x64_6b437f12da077dfc_14.png,ondemand_texture_replace\MarioGalaxy\15864591575855957560.png
ObjectData\Meister\tex1_32x64_c2351af57b6f247d_14.png,ondemand_texture_replace\MarioGalaxy\18020429388842903498.png
ObjectData\MemoryRoadDoor\tex1_128x128_569b249319ccbcc3_14.png,ondemand_texture_replace\MarioGalaxy\7273019179237566987.png
ObjectData\MemoryRoadSky\tex1_512x128_884fec6e1a6127c9_1.png,ondemand_texture_replace\MarioGalaxy\6805543986375643100.png
ObjectData\MemoryRoadSky\tex1_512x64_87391ab299d74d8e_1.png,ondemand_texture_replace\MarioGalaxy\1411028346573655772.png
ObjectData\MemoryRoadTicoCollectField\tex1_128x128_812a5f8c4b7083eb_14.png,ondemand_texture_replace\MarioGalaxy\2448518495702695708.png
ObjectData\MemoryRoadTicoCollectField\tex1_256x256_383e5e12441d63da_14.png,ondemand_texture_replace\MarioGalaxy\2820394193224726661.png
ObjectData\MemoryRoadTicoCollectField\tex1_256x256_a9ebca2aefdc39c5_14.png,ondemand_texture_replace\MarioGalaxy\18249789173700098345.png
ObjectData\MemoryRoadTicoCollectField\tex1_256x256_c3464e181d556257_14.png,ondemand_texture_replace\MarioGalaxy\5020387717840223506.png
ObjectData\MemoryRoadTowerField\tex1_128x128_5d1b5214b46adf09_14.png,ondemand_texture_replace\MarioGalaxy\12514019728282307056.png
ObjectData\MemoryRoadTowerField\tex1_128x128_671bdf75e3ffbab4_14.png,ondemand_texture_replace\MarioGalaxy\4624447792101643820.png
ObjectData\MemoryRoadTowerField\tex1_128x128_9c0a04221e305515_14.png,ondemand_texture_replace\MarioGalaxy\1399064939676942128.png
ObjectData\MemoryRoadTowerField\tex1_128x128_e8d7616717e0c0b8_14.png,ondemand_texture_replace\MarioGalaxy\17158654543706504018.png
ObjectData\MemoryRoadTowerField\tex1_128x128_ec79bc72dbc54b72_14.png,ondemand_texture_replace\MarioGalaxy\12497754115841616800.png
ObjectData\MemoryRoadTowerField\tex1_128x128_f2f45c616b1a7626_14.png,ondemand_texture_replace\MarioGalaxy\3562090184164572282.png
ObjectData\MemoryRoadTowerField\tex1_128x128_m_6ad04756df5b4028_14.png,MarioGalaxy_Sub\4e6cc1a3311f1d6b.png
ObjectData\MemoryRoadTowerField\tex1_128x128_m_6ad04756df5b4028_14_mip1.png,MarioGalaxy_Sub\4e6cc1a3311f1d6b_lod1.png
ObjectData\MemoryRoadTowerField\tex1_128x128_m_6ad04756df5b4028_14_mip2.png,MarioGalaxy_Sub\4e6cc1a3311f1d6b_lod2.png
ObjectData\MemoryRoadTowerField\tex1_128x128_m_6ad04756df5b4028_14_mip3.png,MarioGalaxy_Sub\4e6cc1a3311f1d6b_lod3.png
ObjectData\MemoryRoadTowerField\tex1_256x256_05059accfbf52a97_14.png,ondemand_texture_replace\MarioGalaxy\4564182567632971798.png
ObjectData\MemoryRoadTowerField\tex1_256x256_14e09b3de5b19d87_14.png,ondemand_texture_replace\MarioGalaxy\7154545635872371601.png
ObjectData\MemoryRoadTowerField\tex1_256x256_642fd2792d5dd94e_14.png,ondemand_texture_replace\MarioGalaxy\1773391186949678996.png
ObjectData\MemoryRoadTowerField\tex1_256x256_de6c6f06c36e797c_14.png,ondemand_texture_replace\MarioGalaxy\15378499109785049707.png
ObjectData\MemoryRoadTowerField\tex1_64x64_5f2063b3d494d6ab_14.png,ondemand_texture_replace\MarioGalaxy\9759776025724771046.png
ObjectData\Menbo\tex1_128x128_477f54cbb1f463c1_14.png,ondemand_texture_replace\MarioGalaxy\3396681167581519217.png
ObjectData\Menbo\tex1_32x64_1d179d57936553d4_14.png,ondemand_texture_replace\MarioGalaxy\2039546317560484279.png
ObjectData\Menbo\tex1_32x64_27ac8107b1e6add9_14.png,ondemand_texture_replace\MarioGalaxy\10634221158565538465.png
ObjectData\Menbo\tex1_32x64_426399b7d0be45fa_14.png,ondemand_texture_replace\MarioGalaxy\1121904120576545661.png
ObjectData\Menbo\tex1_32x64_ba2b7054804e8385_14.png,ondemand_texture_replace\MarioGalaxy\12374937347579096247.png
ObjectData\Meramera\tex1_128x128_a0e50e7c1e3b6440_14.png,ondemand_texture_replace\MarioGalaxy\390514814930659649.png
ObjectData\Metbo\tex1_128x128_aeb355fe4254ac11_14.png,ondemand_texture_replace\MarioGalaxy\14024799673154428592.png
ObjectData\MeteorStrikeBreak\tex1_32x32_4366a08d60fc62a9_14.png,ondemand_texture_replace\MarioGalaxy\7859969903101011495.png
ObjectData\MilkyWaySky\tex1_256x128_07be9603a349a038_14.png,ondemand_texture_replace\MarioGalaxy\7334488082613178959.png
ObjectData\MilkyWaySky\tex1_256x256_6db4c8a87392f8dc_14.png,ondemand_texture_replace\MarioGalaxy\8510977268248927272.png
ObjectData\MiniAncientExcavationGalaxy\tex1_64x64_7ff0cfae2f39ffa5_14.png,MarioGalaxy\b968bf5b087a9031.png
ObjectData\MiniBigWaterFallGalaxy\tex1_32x32_fcb701ef4dc12ee9_14.png,MarioGalaxy\bcc2a7c3b7652c90.png
ObjectData\MiniCloudGardenGalaxy\tex1_64x64_65fb2594b31f6686_14.png,MarioGalaxy\e92a9944ed6e08e3.png
ObjectData\MiniFlowerHighlandGalaxy\tex1_32x32_e687e1e4c5e3f928_14.png,MarioGalaxy\bb563d182d41e841.png
ObjectData\MiniGhostConveyorGalaxy\tex1_64x64_2c65c5a62cbd2785_14.png,MarioGalaxy\b0877fae60dc1133.png
ObjectData\MiniGoroRockGalaxy\tex1_32x32_57e0f3a0c0b2d558_14.png,MarioGalaxy\f4fc9c55dcccc351.png
ObjectData\MiniGoroRockGalaxy\tex1_32x32_739d8715ab2e0aa7_0.png,MarioGalaxy\6e2dee1f1d8c4e05.png
ObjectData\MiniHoneyBeeVillageGalaxy\tex1_32x32_66be27eda3ee24cd_14.png,MarioGalaxy\1cf6a3c99d168f2e.png
ObjectData\MiniHoneyBeeVillageGalaxy\tex1_32x32_a960b97eddd92a5d_14.png,MarioGalaxy\2f76ea52010eb212.png
ObjectData\MiniHoneyBeeVillageGalaxy\tex1_32x32_ef14baae296cb6fa_14.png,MarioGalaxy\763c5279448bcd4f.png
ObjectData\MiniIslandFleetGalaxy\tex1_16x32_f277820208b12b37_14.png,MarioGalaxy\c4e48e48226a463c.png
ObjectData\MiniJungleGliderGalaxy\tex1_16x16_8820e6c4878d9afd_14.png,MarioGalaxy\2d528af167e110fc.png
ObjectData\MiniJungleGliderGalaxy\tex1_32x32_8ae44ae8301d6872_14.png,MarioGalaxy\112feeec03124c8b.png
ObjectData\MiniJungleGliderGalaxy\tex1_32x32_d4f8ceb2dfa53e7f_14.png,MarioGalaxy\7784a9cf2b06d524.png
ObjectData\MiniKachikochiLavaGalaxy\tex1_32x32_41a526a95aa01406_14.png,MarioGalaxy\3d2585b4447b3b8f.png
ObjectData\MiniKachikochiLavaGalaxy\tex1_32x32_57c6bfe7209124a5_1.png,MarioGalaxy\9cb78712aba55a88.png
ObjectData\MiniKachikochiLavaGalaxy\tex1_64x64_a73c270e9a75c55f_1.png,MarioGalaxy\f2c378e12b555b4f.png
ObjectData\MiniKingOfKingsGalaxy\tex1_32x32_36ab9013a26eab11_1.png,MarioGalaxy\c03f178ae239e991.png
ObjectData\MiniKoopaCastleGalaxy\tex1_32x32_1d1027861d7168f3_3.png,MarioGalaxy\24c4b2c205dd75f5.png
ObjectData\MiniKoopaCastleGalaxy\tex1_32x32_ecd2f3df1f423ede_14.png,MarioGalaxy\0cfe0664dee0e8a8.png
ObjectData\MiniKoopaCastleGalaxy\tex1_32x32_m_342f0d59f73a00e6_1.png,MarioGalaxy\e788ccd4ce813660.png
ObjectData\MiniKoopaCastleGalaxy\tex1_32x32_m_342f0d59f73a00e6_1_mip1.png,MarioGalaxy\e788ccd4ce813660_lod1.png
ObjectData\MiniLongForCastleGalaxy\tex1_32x32_0e7861347a6a7b69_14.png,MarioGalaxy\b49a5ee0fe871bd7.png
ObjectData\MiniLongForCastleGalaxy\tex1_32x32_6084a595974bcd7b_14.png,MarioGalaxy\9f11e61ae5a54373.png
ObjectData\MiniLongForCastleGalaxy\tex1_32x32_6d0f2c424a14424b_14.png,MarioGalaxy\5576de4ba482d74f.png
ObjectData\MiniLongForCastleGalaxy\tex1_32x32_8de26de2bab6d955_14.png,MarioGalaxy\1e5a733e7ac530b3.png
ObjectData\MiniMadnessOnimasuGalaxy\tex1_128x128_d4bbae7a10ec77e1_14.png,MarioGalaxy\37d7dc1445b074a4.png
ObjectData\MiniMagicGalaxy\tex1_128x128_4129a3925b8ad5a6_0.png,ondemand_texture_replace\MarioGalaxy\4175947364728242562.png
ObjectData\MiniMemoryRoadGalaxy\tex1_32x32_6ff0ea3d144902ea_14.png,MarioGalaxy\26602ceeaa417521.png
